"year","locationabbr","locationdesc","class","topic","question","response","sample_size","data_value","confidence_limit_low","confidence_limit_high","display_order","data_value_unit","data_value_type","data_value_footnote_symbol","data_value_footnote","data_source","class_id","topic_id","location_id","question_id","respid","geo_location","response_order"
2010,"CA","CA - San Mateo County","Health Status","Overall Health","How is your general health?","Poor",16,4,1.8,6.1,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(37.56395, -122.340991)",1
2010,"CA","CA - Santa Clara County","Health Status","Overall Health","How is your general health?","Poor",30,3.3,1.9,4.6,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(37.315105, -121.910421)",1
2010,"CO","CO - Adams County","Health Status","Overall Health","How is your general health?","Poor",37,3,1.6,4.3,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(39.874297, -104.927473)",1
2010,"CO","CO - Arapahoe County","Health Status","Overall Health","How is your general health?","Poor",31,2.2,1.2,3.1,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(39.647528, -104.845968)",1
2010,"CO","CO - Denver County","Health Status","Overall Health","How is your general health?","Poor",41,3.6,2,5.1,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(39.72143, -104.955068)",1
2010,"CO","CO - Douglas County","Health Status","Overall Health","How is your general health?","Poor",12,1.4,0.4,2.3,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(39.48527, -104.879712)",1
2010,"CO","CO - El Paso County","Health Status","Overall Health","How is your general health?","Poor",43,3,1.8,4.1,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(38.873669, -104.758477)",1
2010,"CO","CO - Jefferson County","Health Status","Overall Health","How is your general health?","Poor",37,2,1.2,2.7,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(39.720524, -105.128819)",1
2010,"CO","CO - Larimer County","Health Status","Overall Health","How is your general health?","Poor",9,0.9,0.1,1.6,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(40.504546, -105.099218)",1
2010,"CT","CT - Fairfield County","Health Status","Overall Health","How is your general health?","Poor",74,1.9,1.1,2.6,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(41.207889, -73.364521)",1
2010,"CT","CT - Tolland County","Health Status","Overall Health","How is your general health?","Poor",6,1.1,0.1,2,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(41.842762, -72.37209)",1
2010,"CT","CT - Hartford County","Health Status","Overall Health","How is your general health?","Poor",78,3,2.2,3.7,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(41.761943, -72.717282)",1
2010,"CT","CT - Middlesex County","Health Status","Overall Health","How is your general health?","Poor",9,2,0.4,3.5,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(41.478564, -72.571408)",1
2010,"CT","CT - New Haven County","Health Status","Overall Health","How is your general health?","Poor",80,2.4,1.6,3.1,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(41.396052, -72.941497)",1
2010,"DE","DE - Kent County","Health Status","Overall Health","How is your general health?","Poor",85,4.2,3,5.3,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(39.12322, -75.558604)",1
2010,"DE","DE - New Castle County","Health Status","Overall Health","How is your general health?","Poor",69,2.9,2.1,3.6,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(39.68502, -75.634376)",1
2010,"DE","DE - Sussex County","Health Status","Overall Health","How is your general health?","Poor",49,3.4,2,4.7,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(38.662387, -75.346649)",1
2010,"DC","DC - District of Columbia","Health Status","Overall Health","How is your general health?","Poor",134,2.4,2,2.7,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(38.91027, -77.014468)",1
2010,"FL","FL - Alachua County","Health Status","Overall Health","How is your general health?","Poor",29,3.8,1.8,5.7,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(29.665903, -82.386845)",1
2010,"FL","FL - Baker County","Health Status","Overall Health","How is your general health?","Poor",53,5.5,3.3,7.6,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(30.288432, -82.185477)",1
2010,"FL","FL - Bay County","Health Status","Overall Health","How is your general health?","Poor",41,5.5,3.3,7.6,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(30.206925, -85.660217)",1
2010,"FL","FL - Brevard County","Health Status","Overall Health","How is your general health?","Poor",44,7.9,4.7,11,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(28.232195, -80.690979)",1
2010,"FL","FL - Broward County","Health Status","Overall Health","How is your general health?","Poor",27,3.4,1.8,4.9,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(26.134058, -80.227135)",1
2010,"FL","FL - Citrus County","Health Status","Overall Health","How is your general health?","Poor",36,6.4,3.8,8.9,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(28.863598, -82.453512)",1
2010,"FL","FL - Clay County","Health Status","Overall Health","How is your general health?","Poor",34,5.6,3.2,7.9,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(30.084386, -81.79941)",1
2010,"FL","FL - Collier County","Health Status","Overall Health","How is your general health?","Poor",19,3.5,1.7,5.2,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(26.199831, -81.699625)",1
2010,"FL","FL - Columbia County","Health Status","Overall Health","How is your general health?","Poor",52,6.4,4.2,8.5,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(30.126051, -82.660566)",1
2010,"FL","FL - DeSoto County","Health Status","Overall Health","How is your general health?","Poor",44,5.2,2.6,7.7,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(27.189369, -81.864094)",1
2010,"FL","FL - Duval County","Health Status","Overall Health","How is your general health?","Poor",38,5.2,3,7.3,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(30.300302, -81.622853)",1
2010,"FL","FL - Escambia County","Health Status","Overall Health","How is your general health?","Poor",27,3.8,1.8,5.7,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(30.485314, -87.274788)",1
2010,"FL","FL - Gadsden County","Health Status","Overall Health","How is your general health?","Poor",27,4.2,2.2,6.1,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(30.59828, -84.581397)",1
2010,"FL","FL - Gilchrist County","Health Status","Overall Health","How is your general health?","Poor",42,10.1,4.8,15.3,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(29.704639, -82.808262)",1
2010,"FL","FL - Hardee County","Health Status","Overall Health","How is your general health?","Poor",51,5.5,3.1,7.8,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(27.548312, -81.815432)",1
2010,"FL","FL - Hernando County","Health Status","Overall Health","How is your general health?","Poor",44,6.7,4.3,9,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(28.50485, -82.496961)",1
2010,"FL","FL - Highlands County","Health Status","Overall Health","How is your general health?","Poor",52,8.1,5.1,11,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(27.460415, -81.442555)",1
2010,"FL","FL - Hillsborough County","Health Status","Overall Health","How is your general health?","Poor",19,3,1.4,4.5,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(27.976529, -82.401275)",1
2010,"FL","FL - Jefferson County","Health Status","Overall Health","How is your general health?","Poor",41,5.2,3.2,7.1,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(30.504031, -83.886291)",1
2010,"FL","FL - Lake County","Health Status","Overall Health","How is your general health?","Poor",41,5.6,3.6,7.5,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(28.735689, -81.752026)",1
2010,"FL","FL - Lee County","Health Status","Overall Health","How is your general health?","Poor",31,5,2.2,7.7,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(26.574992, -81.858144)",1
2010,"FL","FL - Leon County","Health Status","Overall Health","How is your general health?","Poor",25,2.6,1.4,3.7,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(30.466103, -84.270371)",1
2010,"FL","FL - Manatee County","Health Status","Overall Health","How is your general health?","Poor",24,3.4,1.8,4.9,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(27.477054, -82.532775)",1
2010,"FL","FL - Marion County","Health Status","Overall Health","How is your general health?","Poor",51,8.4,5.6,11.1,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(29.140116, -82.123367)",1
2010,"FL","FL - Martin County","Health Status","Overall Health","How is your general health?","Poor",19,3.1,1.3,4.8,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(27.1443, -80.244395)",1
2010,"FL","FL - Miami-Dade County","Health Status","Overall Health","How is your general health?","Poor",28,4.4,2.4,6.3,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(25.774565, -80.298888)",1
2010,"FL","FL - Monroe County","Health Status","Overall Health","How is your general health?","Poor",26,3.9,2.1,5.6,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(24.739678, -81.263945)",1
2010,"FL","FL - Nassau County","Health Status","Overall Health","How is your general health?","Poor",41,5.3,3.1,7.4,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(30.607962, -81.647153)",1
2010,"FL","FL - Orange County","Health Status","Overall Health","How is your general health?","Poor",73,5.1,3.5,6.6,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(28.532855, -81.384377)",1
2010,"FL","FL - Osceola County","Health Status","Overall Health","How is your general health?","Poor",35,4.1,2.3,5.8,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(28.266765, -81.383484)",1
2010,"FL","FL - Palm Beach County","Health Status","Overall Health","How is your general health?","Poor",29,4.2,1.8,6.5,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(26.617075, -80.146119)",1
2010,"FL","FL - Pasco County","Health Status","Overall Health","How is your general health?","Poor",41,5.9,3.5,8.2,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(28.261606, -82.51608)",1
2010,"FL","FL - Pinellas County","Health Status","Overall Health","How is your general health?","Poor",34,5.1,2.9,7.2,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(27.899794, -82.727651)",1
2010,"FL","FL - Polk County","Health Status","Overall Health","How is your general health?","Poor",39,6,3.6,8.3,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(28.03114, -81.799975)",1
2010,"FL","FL - St. Johns County","Health Status","Overall Health","How is your general health?","Poor",26,3.8,1.8,5.7,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(29.977088, -81.421504)",1
2010,"FL","FL - St. Lucie County","Health Status","Overall Health","How is your general health?","Poor",36,6.2,3.6,8.7,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(27.338067, -80.353183)",1
2010,"FL","FL - Santa Rosa County","Health Status","Overall Health","How is your general health?","Poor",35,5.7,3.3,8,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(30.549593, -87.036954)",1
2010,"FL","FL - Sarasota County","Health Status","Overall Health","How is your general health?","Poor",22,2.9,1.3,4.4,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(27.208205, -82.423893)",1
2010,"FL","FL - Seminole County","Health Status","Overall Health","How is your general health?","Poor",26,4.1,2.1,6,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(28.697834, -81.310445)",1
2010,"FL","FL - Volusia County","Health Status","Overall Health","How is your general health?","Poor",64,7.8,4.8,10.7,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(29.073725, -81.123944)",1
2010,"FL","FL - Wakulla County","Health Status","Overall Health","How is your general health?","Poor",45,5.3,3.5,7,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(30.185525, -84.331546)",1
2010,"GA","GA - Cobb County","Health Status","Overall Health","How is your general health?","Poor",7,2.2,0,4.3,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(33.943254, -84.557878)",1
2010,"GA","GA - DeKalb County","Health Status","Overall Health","How is your general health?","Poor",11,3.6,1.2,5.9,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(33.789813, -84.248029)",1
2010,"GA","GA - Fulton County","Health Status","Overall Health","How is your general health?","Poor",11,1.7,0.5,2.8,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(33.836086, -84.393645)",1
2010,"GA","GA - Gwinnett County","Health Status","Overall Health","How is your general health?","Poor",12,4.1,1.1,7,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(33.951956, -84.057963)",1
2010,"HI","HI - Hawaii County","Health Status","Overall Health","How is your general health?","Poor",69,3.5,2.5,4.4,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(19.672837, -155.421895)",1
2010,"HI","HI - Honolulu County","Health Status","Overall Health","How is your general health?","Poor",100,2.6,2,3.1,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(21.372464, -157.913673)",1
2010,"HI","HI - Kauai County","Health Status","Overall Health","How is your general health?","Poor",30,4.2,2,6.3,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(22.021022, -159.442112)",1
2010,"ID","ID - Bonneville County","Health Status","Overall Health","How is your general health?","Poor",29,3.9,2.3,5.4,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(43.494876, -111.997623)",1
2010,"HI","HI - Maui County","Health Status","Overall Health","How is your general health?","Poor",63,3.5,2.1,4.8,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(20.863747, -156.493816)",1
2010,"ID","ID - Ada County","Health Status","Overall Health","How is your general health?","Poor",46,3.8,2.4,5.1,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(43.611186, -116.304409)",1
2010,"ID","ID - Canyon County","Health Status","Overall Health","How is your general health?","Poor",50,6.2,4,8.3,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(43.611438, -116.627276)",1
2010,"ID","ID - Kootenai County","Health Status","Overall Health","How is your general health?","Poor",32,3.6,2,5.1,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(47.73713, -116.832581)",1
2010,"ID","ID - Nez Perce County","Health Status","Overall Health","How is your general health?","Poor",28,5.6,3,8.1,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(46.394126, -116.950462)",1
2010,"ID","ID - Twin Falls County","Health Status","Overall Health","How is your general health?","Poor",26,4.2,2.2,6.1,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(42.558563, -114.504002)",1
2010,"IL","IL - Cook County","Health Status","Overall Health","How is your general health?","Poor",155,4.6,3.4,5.7,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(41.865937, -87.757714)",1
2010,"IL","IL - DuPage County","Health Status","Overall Health","How is your general health?","Poor",8,2.7,0,5.4,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(41.849815, -88.071617)",1
2010,"IN","IN - Allen County","Health Status","Overall Health","How is your general health?","Poor",31,5,2.6,7.3,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(41.098642, -85.122329)",1
2010,"IN","IN - Lake County","Health Status","Overall Health","How is your general health?","Poor",81,6,3.2,8.7,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(41.526226, -87.408155)",1
2010,"IN","IN - Marion County","Health Status","Overall Health","How is your general health?","Poor",128,7.1,5.3,8.8,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(39.791299, -86.135905)",1
2010,"IA","IA - Linn County","Health Status","Overall Health","How is your general health?","Poor",16,1.5,0.7,2.2,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(42.009607, -91.647251)",1
2010,"IA","IA - Polk County","Health Status","Overall Health","How is your general health?","Poor",25,2.4,1.2,3.5,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(41.623296, -93.641654)",1
2010,"KS","KS - Johnson County","Health Status","Overall Health","How is your general health?","Poor",32,1.6,0.8,2.3,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(38.928049, -94.737132)",1
2010,"KS","KS - Sedgwick County","Health Status","Overall Health","How is your general health?","Poor",71,3.4,2.4,4.3,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(37.678808, -97.344603)",1
2010,"KS","KS - Shawnee County","Health Status","Overall Health","How is your general health?","Poor",30,3.7,1.7,5.6,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(39.035591, -95.705467)",1
2010,"KS","KS - Wyandotte County","Health Status","Overall Health","How is your general health?","Poor",46,4.3,2.7,5.8,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(39.104143, -94.707937)",1
2010,"KY","KY - Jefferson County","Health Status","Overall Health","How is your general health?","Poor",34,6.5,3.7,9.2,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(38.201775, -85.691832)",1
2010,"LA","LA - Caddo Parish","Health Status","Overall Health","How is your general health?","Poor",37,5.5,3.3,7.6,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(32.472074, -93.800831)",1
2010,"LA","LA - East Baton Rouge Parish","Health Status","Overall Health","How is your general health?","Poor",31,2.9,1.7,4,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(30.462492, -91.100943)",1
2010,"LA","LA - Jefferson Parish","Health Status","Overall Health","How is your general health?","Poor",41,6.1,3.7,8.4,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(29.945261, -90.153175)",1
2010,"LA","LA - Orleans Parish","Health Status","Overall Health","How is your general health?","Poor",25,4.2,2,6.3,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(29.972699, -90.05284)",1
2010,"LA","LA - St. Tammany Parish","Health Status","Overall Health","How is your general health?","Poor",16,3.5,1.5,5.4,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(30.383308, -89.948329)",1
2010,"ME","ME - Androscoggin County","Health Status","Overall Health","How is your general health?","Poor",21,3.6,1.6,5.5,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(44.119069, -70.201312)",1
2010,"ME","ME - Cumberland County","Health Status","Overall Health","How is your general health?","Poor",47,2.4,1.2,3.5,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(43.748088, -70.305589)",1
2010,"ME","ME - Kennebec County","Health Status","Overall Health","How is your general health?","Poor",35,4.9,2.9,6.8,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(44.396102, -69.749178)",1
2010,"ME","ME - Penobscot County","Health Status","Overall Health","How is your general health?","Poor",41,4.2,2.8,5.5,5,"%","Crude Prevalence",NA,NA,"BRFSS","CLASS08","Topic41",NA,"GENHLTH","RESP060","(44.953036, -68.79423)",1
